symbol,type,entry_time,exit_time,profit_pct,profit_abs,balance
ETH/USDT,long,2025-12-10 18:00:00,2025-12-10 23:00:00,-1.8480328605732284,-7.359451674384191,1983.7987770005684
ETH/USDT,short,2025-12-14 12:00:00,2025-12-15 06:00:00,-1.400266254429513,-5.5556929660248695,1978.2430840345435
ETH/USDT,long,2025-12-29 04:00:00,2025-12-29 09:00:00,-2.2358140957744213,-8.84596754430539,1969.397116490238
ETH/USDT,long,2026-01-01 23:00:00,2026-01-02 09:00:00,1.3132896055176282,5.1727775244460386,1974.569894014684
ETH/USDT,long,2026-01-02 10:00:00,2026-01-02 16:00:00,2.3022037779049738,9.091724539476058,1983.66161855416
ETH/USDT,long,2026-01-04 07:00:00,2026-01-05 17:00:00,2.144917056368566,8.50957927940099,1992.1711978335609
ETH/USDT,long,2026-01-06 14:00:00,2026-01-06 17:00:00,-2.6410847475206696,-10.5229859300964,1981.6482119034645
ETH/USDT,long,2026-01-12 03:00:00,2026-01-12 10:00:00,-1.5986685381675172,-6.3359973001719725,1975.3122146032924
ETH/USDT,long,2026-01-13 15:00:00,2026-01-13 22:00:00,4.459017054964655,17.61590170759217,1992.9281163108847
ETH/USDT,long,2026-01-13 23:00:00,2026-01-19 00:00:00,-3.568405085061731,-14.223149648812516,1978.7049666620721
ETH/USDT,short,2026-01-20 05:00:00,2026-01-20 09:00:00,2.285871158970155,9.046129230807665,1987.75109589288
ETH/USDT,short,2026-01-25 16:00:00,2026-01-25 19:00:00,2.7502616517891036,10.933671224671906,1998.6847671175517
ETH/USDT,long,2026-02-25 14:00:00,2026-02-27 14:00:00,-2.875069841492358,-11.4927165931797,1987.192050524372
ETH/USDT,long,2026-03-01 02:00:00,2026-03-01 17:00:00,-3.6855746292516116,-14.647889209726225,1972.5441613146459
ETH/USDT,long,2026-03-04 16:00:00,2026-03-05 17:00:00,-4.001306251429468,-15.78550656777798,1956.758654746868
ETH/USDT,short,2026-03-07 19:00:00,2026-03-09 03:00:00,-1.2895253682487713,-5.046579849672851,1951.7120748971952
ETH/USDT,long,2026-03-09 13:00:00,2026-03-13 10:00:00,5.236589764934386,20.440630951011016,1972.152705848206
ETH/USDT,long,2026-03-13 13:00:00,2026-03-13 15:00:00,-2.781410373732557,-10.970731989261864,1961.1819738589443
ETH/USDT,long,2026-03-15 22:00:00,2026-03-16 04:00:00,3.464347517568168,13.588431805275347,1974.7704056642197
ETH/USDT,long,2026-03-16 05:00:00,2026-03-18 14:00:00,-4.1053249987941,-16.214148626504176,1958.5562570377156
ETH/USDT,long,2026-03-23 13:00:00,2026-03-24 17:00:00,-3.6487463626214653,-14.292550037711756,1944.2637070000037
SOL/USDT,long,2025-10-21 16:00:00,2025-10-21 23:00:00,-3.8688992731048795,-15.47559709241952,1984.5244029075805
SOL/USDT,long,2025-10-24 12:00:00,2025-10-24 14:00:00,-2.04696375090364,-8.124499031071016,1976.3999038765094
SOL/USDT,long,2025-10-26 22:00:00,2025-10-28 19:00:00,-2.6725774225774197,-10.564163522169084,1965.8357403543403
SOL/USDT,long,2025-11-30 13:00:00,2025-11-30 20:00:00,-1.6574393221312507,-6.516506913828565,1959.3192334405117
SOL/USDT,long,2025-12-02 15:00:00,2025-12-03 21:00:00,5.299912942542082,20.768442727765997,1980.0876761682775
SOL/USDT,short,2025-12-07 14:00:00,2025-12-07 15:00:00,-3.269662921348318,-12.948438511572347,1967.1392376567053
SOL/USDT,long,2026-01-02 09:00:00,2026-01-03 22:00:00,2.8643740340030917,11.269245107225007,1978.4084827639304
SOL/USDT,long,2026-01-05 01:00:00,2026-01-05 13:00:00,-2.3999085923217534,-9.495999033814801,1968.9124837301156
SOL/USDT,long,2026-01-12 00:00:00,2026-01-13 02:00:00,-2.3373133800325596,-9.203930984671079,1959.7085527454444
SOL/USDT,long,2026-01-13 22:00:00,2026-01-14 11:00:00,-2.4206586826347287,-9.487571047273597,1950.2209816981708
SOL/USDT,short,2026-01-18 23:00:00,2026-01-19 00:00:00,2.7238159135417384,10.624085889744938,1960.8450675879158
SOL/USDT,short,2026-01-25 16:00:00,2026-01-25 19:00:00,3.6757208014334646,14.415038006642218,1975.260105594558
SOL/USDT,long,2026-02-14 16:00:00,2026-02-15 17:00:00,-2.179187471629599,-8.60892415064284,1966.651181443915
SOL/USDT,long,2026-03-15 22:00:00,2026-03-16 22:00:00,3.7763385146804875,14.85348120285708,1981.504662646772
FET/USDT,long,2025-10-26 12:00:00,2025-10-27 20:00:00,-3.539427633977392,-14.157710535909567,1985.8422894640905
FET/USDT,long,2025-12-02 14:00:00,2025-12-02 16:00:00,7.404545454545457,29.408518995790953,2015.2508084598815
FET/USDT,long,2025-12-07 17:00:00,2025-12-07 22:00:00,-4.468367346938774,-18.009761816828203,1997.2410466430533
FET/USDT,long,2025-12-09 16:00:00,2025-12-10 21:00:00,-3.9186601059803037,-15.653017623012962,1981.5880290200403
FET/USDT,long,2026-01-11 18:00:00,2026-01-11 22:00:00,-4.08569046030687,-16.192310612850946,1965.3957184071894
FET/USDT,long,2026-03-10 15:00:00,2026-03-11 10:00:00,5.4685185185185174,21.495605764653444,1986.8913241718428
FET/USDT,long,2026-03-12 21:00:00,2026-03-13 00:00:00,8.155882352941163,32.409703776050065,2019.3010279478929
AVAX/USDT,long,2025-10-06 14:00:00,2025-10-07 07:00:00,-2.280329742082917,-9.121318968331668,1990.8786810316683
AVAX/USDT,long,2025-10-21 15:00:00,2025-10-21 20:00:00,-3.5846820809248676,-14.273334266379113,1976.6053467652891
AVAX/USDT,long,2025-10-26 13:00:00,2025-10-26 20:00:00,-2.541257892180671,-10.046127874387606,1966.5592188909015
AVAX/USDT,long,2025-10-26 22:00:00,2025-10-27 22:00:00,-2.480501930501924,-9.756107877810473,1956.803111013091
AVAX/USDT,long,2025-12-02 15:00:00,2025-12-03 17:00:00,4.643855157278718,18.174220437714368,1974.9773314508054
AVAX/USDT,long,2025-12-03 22:00:00,2025-12-04 19:00:00,-3.3782828282828277,-13.344064010176199,1961.6332674406292
AVAX/USDT,long,2025-12-29 03:00:00,2025-12-29 09:00:00,-3.3022935779816462,-12.95577788284869,1948.6774895577805
AVAX/USDT,long,2026-01-03 03:00:00,2026-01-03 06:00:00,-3.214796633941087,-12.529203668134242,1936.1482858896463
AVAX/USDT,long,2026-01-04 21:00:00,2026-01-05 13:00:00,-2.634781097984716,-10.202653813115099,1925.9456320765312
AVAX/USDT,long,2026-01-13 16:00:00,2026-01-15 03:00:00,-2.8964458247066935,-11.156794369280325,1914.7888377072509
AVAX/USDT,long,2026-03-10 15:00:00,2026-03-10 22:00:00,-3.313561924257928,-12.68954277124168,1902.0992949360093
AVAX/USDT,long,2026-03-13 12:00:00,2026-03-13 17:00:00,-3.820564915758177,-14.534187665041767,1887.5651072709675
AVAX/USDT,long,2026-03-15 22:00:00,2026-03-16 04:00:00,4.063841524573711,15.341530926528378,1902.9066381974958
