timestamp,symbol,side,price,quantity,pnl,reason,ml_score,final_tp
2026-03-28T10:29:41.698972,NEAR/USDT,Long,1.162,270.5316193015946,0,[1H Core] AI Score 0.54 >= 0.52,0.5410632386031893,1.2259099999999998
2026-03-28T10:29:41.808429,AVAX/USDT,Long,8.79,277.51331549615816,0,[1H Core] AI Score 0.56 >= 0.52,0.5550266309923163,9.273449999999999
2026-03-28T10:29:42.037981,ARB/USDT,Long,0.0898,282.84071777824954,0,[1H Core] AI Score 0.57 >= 0.52,0.5656814355564991,0.094739
2026-03-28T10:30:42.865327,SOL/USDT,Long,82.77,297.11941477213486,0,[1H Core] AI Score 0.59 >= 0.52,0.5942388295442698,87.07404
2026-03-28T10:30:43.005555,NEAR/USDT,Long,1.162,270.5316193015945,0,[1H Core] AI Score 0.54 >= 0.52,0.5410632386031891,1.2259099999999998
2026-03-28T10:30:43.119116,AVAX/USDT,Long,8.79,277.51331549615816,0,[1H Core] AI Score 0.56 >= 0.52,0.5550266309923163,9.273449999999999
2026-03-28T10:30:43.329404,ARB/USDT,Long,0.0899,274.5162718912946,0,[1H Core] AI Score 0.55 >= 0.52,0.5490325437825891,0.09484449999999998
2026-03-28T10:31:44.100890,SOL/USDT,Long,82.76,295.1690601622058,0,[1H Core] AI Score 0.59 >= 0.52,0.5903381203244117,87.06352000000001
2026-03-28T10:31:44.217184,NEAR/USDT,Long,1.162,270.53161930159456,0,[1H Core] AI Score 0.54 >= 0.52,0.5410632386031892,1.2259099999999998
2026-03-28T10:31:44.331562,AVAX/USDT,Long,8.77,280.1008734651009,0,[1H Core] AI Score 0.56 >= 0.52,0.5602017469302019,9.25235
2026-03-28T10:31:44.555484,ARB/USDT,Long,0.0899,274.5162718912945,0,[1H Core] AI Score 0.55 >= 0.52,0.5490325437825889,0.09484449999999998
2026-03-28T10:32:45.370003,SOL/USDT,Long,82.78,295.9533527301322,0,[1H Core] AI Score 0.59 >= 0.52,0.5919067054602645,87.08456000000001
